support,itemsets
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Date', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order ID', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Cost', 'Order ID', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order ID', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order ID', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Item Type', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Item Type', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Item Type', 'Total Profit'})"
1.0,"frozenset({'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Priority', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Cost', 'Order Priority', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Priority', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Cost', 'Order Priority', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Order Priority', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Order Priority', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Order Priority', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Priority', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Order Priority', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Cost', 'Order Priority', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Priority', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Priority', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Cost', 'Order Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Order Date', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Cost', 'Order Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Cost', 'Order Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Date', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Date', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Cost', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order ID', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Sales Channel', 'Unit Price'})"
